country	Continent	Region	pop	density	pct.urban	pct.gr	br	dr	fert	under.5.mort
United States of America	Northern America	Northern America	294043.1	31.4	77.9	1	14.5	8.3	2.1	8.4
Oceania	Oceania	NA	32234.4	3.8	74.7	1.2	17.1	7.6	2.3	34.6
Australia/New Zealand	Oceania	Australia/New Zealand	23606.1	3	91	0.9	12.6	7.4	1.7	6.8
Australia	Oceania	Australia/New Zealand	19730.7	2.6	92	1	12.3	7.4	1.7	6.7
New Zealand	Oceania	Australia/New Zealand	3875.4	14.3	86.1	0.8	14	7.6	2	7.3
Melanesia	Oceania	Melanesia	7467.5	13.8	24.6	2.1	30.4	8.4	3.9	72.4
Fiji	Oceania	Melanesia	838.8	45.9	51.7	1	23.6	5.5	2.9	22
New Caledonia	Oceania	Melanesia	228.4	12.3	80.2	1.9	19.4	4.9	2.5	9.5
Papua New Guinea	Oceania	Melanesia	5711.3	12.3	18.1	2.2	31.6	9.4	4.1	84.5
Solomon Islands	Oceania	Melanesia	477	16.5	21.4	2.9	33.3	4.6	4.4	30.4
Vanuatu	Oceania	Melanesia	212	17.4	22.8	2.4	30.5	5.4	4.1	34.9
Micronesia	Oceania	Micronesia	525.8	169.9	44.4	1.7	24.9	5.2	3.4	25.6
Guam	Oceania	Micronesia	162.8	300.9	40.2	1.5	20.4	4.9	2.9	11.3
Kiribati	Oceania	Micronesia	87.7	120.8	39.5	1.4	NA	NA	NA	NA
Marshall Islands	Oceania	Micronesia	53	292.6	66.3	1.2	NA	NA	NA	NA
Fed. States of Micronesia	Oceania	Micronesia	109.3	155.8	29.3	0.8	28	5.9	3.8	41.9
Nauru	Oceania	Micronesia	13.1	622	100	2.3	NA	NA	NA	NA
Northern Mariana Islands	Oceania	Micronesia	79.4	171.1	53	4	NA	NA	NA	NA
Palau	Oceania	Micronesia	20.5	44.7	69.3	2.1	NA	NA	NA	NA
Polynesia	Oceania	Polynesia	635	74.6	41	1.3	24.3	5.5	3.2	26.1
American Samoa	Oceania	Polynesia	61.8	310.6	54.2	2.4	NA	NA	NA	NA
Cook Islands	Oceania	Polynesia	18.4	77.8	59.4	0.2	NA	NA	NA	NA
French Polynesia	Oceania	Polynesia	244.4	61.1	52.6	1.5	20	4.8	2.4	11.4
Niue	Oceania	Polynesia	1.9	7.5	33.7	-1.2	NA	NA	NA	NA
Pitcairn	Oceania	Polynesia	0.1	13.2	0	0	NA	NA	NA	NA
Samoa	Oceania	Polynesia	178	62.9	22.7	1	28.8	5.5	4.1	31.5
Tokelau	Oceania	Polynesia	1.5	127.2	0	-0.1	NA	NA	NA	NA
Tonga	Oceania	Polynesia	103.6	138.7	33.4	1	26.5	7.2	3.7	41.9
Tuvalu	Oceania	Polynesia	10.6	407.5	55.1	1.2	NA	NA	NA	NA
Wallis and Futuna Islands 	Oceania	Polynesia	14.7	73.6	0	0.6	NA	NA	NA	NA
